"Story","Title","Result","Date","Stability","Duration (s)"
"Browse Top Level Category","Gear with Empty LHS","SUCCESS","2016-07-26T00:51:30.247+01:00","0.0","22.04"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-26T00:48:59.605+01:00","0.0","53.27"
"Guest User and Registered User Entry Point","Guest User","SUCCESS","2016-07-24T16:53:52.607+01:00","0.0","65.08"
"Guest User to Registered User Login and Logout","Guest User Sign Up to be Registered User","SUCCESS","2016-07-25T23:51:00.456+01:00","0.0","22.97"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-24T16:53:35.946+01:00","0.0","15.95"
"Guest User and Registered User Entry Point","Home Page Browse Footer","SUCCESS","2016-07-26T00:48:46.042+01:00","0.0","12.89"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-24T16:53:16.501+01:00","0.0","18.09"
"Guest User and Registered User Entry Point","Home Page Browse Header","SUCCESS","2016-07-26T00:48:30.176+01:00","0.0","14.66"
"Luma Product List Page","Navigate Audi Experience Products Default PLP","FAILURE","2016-07-25T23:47:42.828+01:00","0.0","31.63"
"Luma Product List Page","Navigate Audi Experience Products PLP List View","FAILURE","2016-07-25T23:49:54.482+01:00","0.0","31.5"
"Luma Product List Page","Navigate Configurable Products Default PLP","FAILURE","2016-07-25T23:47:10.280+01:00","0.0","31.43"
"Luma Product List Page","Navigate Configurable Products PLP List View","FAILURE","2016-07-25T23:49:21.818+01:00","0.0","31.32"
"Luma Product List Page","Navigate Mixed Products Default PLP","FAILURE","2016-07-25T23:48:15.728+01:00","0.0","31.57"
"Luma Product List Page","Navigate Mixed Products PLP List View","FAILURE","2016-07-25T23:50:27.224+01:00","0.0","31.98"
"Luma Product Details Page - Category and Search","Navigate Simple Product","FAILURE","2016-07-25T23:45:38.618+01:00","0.0","10.05"
"Luma Product List Page","Navigate Simple Products Default PLP","FAILURE","2016-07-25T23:46:37.619+01:00","0.0","31.79"
"Luma Product List Page","Navigate Simple Products PLP List View","FAILURE","2016-07-25T23:48:48.523+01:00","0.0","32.0"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-24T16:54:58.446+01:00","0.0","20.89"
"Guest User and Registered User Entry Point","Registered User","SUCCESS","2016-07-26T00:49:53.586+01:00","0.0","18.14"
"Guest User to Registered User Login and Logout","Registered User Login and Logout","SUCCESS","2016-07-26T00:50:12.437+01:00","0.0","20.03"
"Browse Top Level Category","Sale without Products","SUCCESS","2016-07-26T00:52:08.727+01:00","0.0","13.15"
"Browse Top Level Category","Training with Promo Only","SUCCESS","2016-07-26T00:51:53.088+01:00","0.0","14.74"
"Browse Top Level Category","What's New","SUCCESS","2016-07-25T23:28:31.396+01:00","0.0","52.88"
"Browse Top Level Category","What's New, Women and Men","ERROR","2016-07-26T00:50:33.656+01:00","0.0","55.65"
